Date,Open,High,Low,Close,Adj Close,Volume
2019-11-20,2.050000,2.120000,2.050000,2.110000,2.110000,6050011
2019-11-21,2.100000,2.150000,2.100000,2.150000,2.150000,4058569
2019-11-22,2.130000,2.140000,1.990000,2.030000,2.030000,8642767
2019-11-25,2.050000,2.060000,2.015000,2.040000,2.040000,7054475
2019-11-26,2.020000,2.060000,2.020000,2.030000,2.030000,3585719
2019-11-27,2.030000,2.060000,2.010000,2.030000,2.030000,3388614
2019-11-28,2.020000,2.030000,2.010000,2.010000,2.010000,640131
2019-11-29,2.000000,2.005000,1.970000,1.970000,1.970000,3320811
2019-12-02,1.970000,2.020000,1.970000,2.010000,2.010000,2574493
2019-12-03,2.000000,2.000000,1.945000,1.950000,1.950000,9786412
2019-12-04,1.960000,1.990000,1.950000,1.950000,1.950000,2888796
2019-12-05,1.970000,1.980000,1.910000,1.930000,1.930000,4393999
2019-12-06,1.950000,1.990000,1.935000,1.980000,1.980000,5170554
2019-12-09,1.950000,1.990000,1.920000,1.940000,1.940000,4354783
2019-12-10,1.940000,1.980000,1.910000,1.920000,1.920000,5826449
2019-12-11,1.920000,1.935000,1.880000,1.880000,1.880000,9586045
2019-12-12,1.890000,1.930000,1.880000,1.920000,1.920000,3588288
2019-12-13,1.940000,1.940000,1.900000,1.920000,1.920000,7283508
2019-12-16,1.910000,1.940000,1.910000,1.920000,1.920000,3985265
2019-12-17,1.900000,1.920000,1.900000,1.900000,1.900000,2375961
2019-12-18,1.900000,1.900000,1.860000,1.890000,1.890000,4136213
2019-12-19,1.890000,1.970000,1.870000,1.950000,1.950000,6615634
2019-12-20,1.910000,1.950000,1.860000,1.870000,1.870000,12389570
2019-12-23,1.880000,1.900000,1.875000,1.880000,1.880000,4531801
2019-12-24,1.890000,1.920000,1.880000,1.920000,1.920000,1907185
2019-12-27,1.880000,1.930000,1.880000,1.910000,1.910000,3818223
2019-12-30,1.910000,1.950000,1.910000,1.930000,1.930000,3487902
2019-12-31,1.930000,1.960000,1.920000,1.930000,1.930000,2145947
2020-01-02,1.960000,1.970000,1.940000,1.960000,1.960000,3007491
2020-01-03,1.950000,1.960000,1.930000,1.940000,1.940000,2801518
2020-01-06,1.930000,1.940000,1.900000,1.910000,1.910000,4454358
2020-01-07,1.900000,1.930000,1.900000,1.930000,1.930000,3403998
2020-01-08,1.920000,1.930000,1.840000,1.870000,1.870000,8204847
2020-01-09,1.840000,1.870000,1.830000,1.870000,1.870000,3744284
2020-01-10,1.870000,1.870000,1.810000,1.810000,1.810000,3813579
2020-01-13,1.810000,1.820000,1.770000,1.780000,1.780000,4544064
2020-01-14,1.780000,1.810000,1.760000,1.800000,1.800000,3104298
2020-01-15,1.810000,1.820000,1.790000,1.790000,1.790000,2033058
2020-01-16,1.250000,1.270000,1.100000,1.220000,1.220000,60396801
2020-01-17,1.260000,1.260000,1.110000,1.120000,1.120000,34000852
2020-01-20,1.120000,1.230000,1.120000,1.220000,1.220000,17417869
2020-01-21,1.220000,1.300000,1.180000,1.290000,1.290000,25178179
2020-01-22,1.350000,1.440000,1.260000,1.280000,1.280000,19904441
2020-01-23,1.290000,1.320000,1.210000,1.230000,1.230000,11076013
2020-01-24,1.240000,1.260000,1.200000,1.220000,1.220000,7179464
2020-01-27,1.230000,1.250000,1.160000,1.200000,1.200000,11424898
2020-01-28,1.200000,1.300000,1.200000,1.300000,1.300000,9715099
2020-01-29,1.310000,1.330000,1.250000,1.270000,1.270000,7557325
2020-01-30,1.270000,1.300000,1.240000,1.240000,1.240000,4598189
2020-01-31,1.260000,1.270000,1.220000,1.230000,1.230000,6922987
2020-02-03,1.250000,1.310000,1.240000,1.300000,1.300000,9186508
2020-02-04,1.330000,1.540000,1.310000,1.530000,1.530000,35222998
2020-02-05,1.450000,1.540000,1.420000,1.470000,1.470000,23724788
2020-02-06,1.450000,1.520000,1.430000,1.430000,1.430000,15282464
2020-02-07,1.420000,1.505000,1.380000,1.470000,1.470000,15320634
2020-02-10,1.500000,1.520000,1.465000,1.500000,1.500000,13498282
2020-02-11,1.490000,1.500000,1.400000,1.420000,1.420000,11404070
2020-02-12,1.440000,1.570000,1.400000,1.570000,1.570000,29805262
2020-02-13,1.580000,1.720000,1.430000,1.670000,1.670000,32280855
2020-02-14,1.640000,1.740000,1.570000,1.650000,1.650000,17669848
2020-02-18,1.810000,1.820000,1.420000,1.490000,1.490000,40342901
2020-02-19,1.490000,1.560000,1.430000,1.460000,1.460000,10923670
2020-02-20,1.450000,1.480000,1.400000,1.400000,1.400000,9924270
2020-02-21,1.390000,1.390000,1.240000,1.250000,1.250000,22639964
2020-02-24,1.150000,1.245000,1.150000,1.210000,1.210000,11025069
2020-02-25,1.210000,1.310000,1.180000,1.200000,1.200000,12067141
2020-02-26,1.210000,1.225000,1.170000,1.180000,1.180000,22378698
2020-02-27,1.180000,1.200000,1.070000,1.120000,1.120000,8860191
2020-02-28,1.070000,1.090000,0.950000,0.960000,0.960000,38084547
2020-03-02,1.020000,1.090000,0.980000,1.060000,1.060000,28328385
2020-03-03,1.100000,1.110000,1.000000,1.030000,1.030000,11815786
2020-03-04,1.050000,1.050000,1.000000,1.010000,1.010000,7884856
2020-03-05,1.000000,1.020000,0.930000,0.960000,0.960000,13179035
2020-03-06,0.930000,0.940000,0.880000,0.920000,0.920000,15277513
2020-03-09,0.820000,0.890000,0.800000,0.890000,0.890000,17533524
2020-03-10,0.900000,0.950000,0.830000,0.850000,0.850000,13233507
2020-03-11,0.870000,0.870000,0.800000,0.830000,0.830000,8092802
2020-03-12,0.800000,0.830000,0.630000,0.640000,0.640000,29830409
2020-03-13,0.660000,0.790000,0.660000,0.780000,0.780000,25507619
2020-03-16,0.720000,0.740000,0.590000,0.610000,0.610000,22587276
2020-03-17,0.640000,0.670000,0.550000,0.600000,0.600000,23074351
2020-03-18,0.570000,0.570000,0.380000,0.450000,0.450000,44071276
2020-03-19,0.440000,0.500000,0.405000,0.480000,0.480000,22665822
2020-03-20,0.510000,0.520000,0.460000,0.490000,0.490000,31536306
2020-03-23,0.470000,0.480000,0.410000,0.430000,0.430000,13139725
2020-03-24,0.470000,0.490000,0.430000,0.440000,0.440000,15436108
2020-03-25,0.455000,0.550000,0.445000,0.500000,0.500000,28693251
2020-03-26,0.520000,0.580000,0.500000,0.510000,0.510000,22607132
2020-03-27,0.510000,0.520000,0.440000,0.455000,0.455000,23267892
2020-03-30,0.465000,0.470000,0.410000,0.425000,0.425000,17457291
2020-03-31,0.435000,0.460000,0.420000,0.455000,0.455000,24181893
2020-04-01,0.430000,0.445000,0.420000,0.430000,0.430000,12070107
2020-04-02,0.430000,0.440000,0.420000,0.425000,0.425000,11062425
2020-04-03,0.420000,0.425000,0.385000,0.405000,0.405000,19932640
2020-04-06,0.415000,0.440000,0.405000,0.420000,0.420000,19874130
2020-04-07,0.440000,0.490000,0.425000,0.445000,0.445000,18994283
2020-04-08,0.455000,0.490000,0.450000,0.475000,0.475000,17238732
2020-04-09,0.490000,0.530000,0.475000,0.475000,0.475000,24727469
2020-04-13,0.495000,0.495000,0.455000,0.460000,0.460000,7181413
2020-04-14,0.475000,0.490000,0.465000,0.470000,0.470000,10810793
2020-04-15,0.470000,0.475000,0.445000,0.455000,0.455000,9954151
2020-04-16,0.450000,0.455000,0.420000,0.425000,0.425000,10509279
2020-04-17,0.470000,0.470000,0.430000,0.430000,0.430000,15200824
2020-04-20,0.430000,0.440000,0.420000,0.420000,0.420000,8602646
2020-04-21,0.420000,0.425000,0.400000,0.410000,0.410000,12255052
2020-04-22,0.415000,0.420000,0.400000,0.420000,0.420000,9406436
2020-04-23,0.415000,0.435000,0.415000,0.425000,0.425000,9683641
2020-04-24,0.430000,0.430000,0.415000,0.420000,0.420000,4076081
2020-04-27,0.420000,0.430000,0.415000,0.425000,0.425000,6127229
2020-04-28,0.425000,0.430000,0.415000,0.430000,0.430000,7836878
2020-04-29,0.435000,0.490000,0.435000,0.480000,0.480000,24453299
2020-04-30,0.500000,0.510000,0.465000,0.490000,0.490000,19772281
2020-05-01,0.485000,0.485000,0.445000,0.485000,0.485000,26899421
2020-05-04,0.460000,0.495000,0.460000,0.495000,0.495000,13041939
2020-05-05,0.500000,0.540000,0.495000,0.530000,0.530000,17547978
2020-05-06,0.550000,0.570000,0.530000,0.530000,0.530000,13485415
2020-05-07,0.570000,0.570000,0.450000,0.450000,0.450000,34991751
